xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2
0.002593        0.02855        0.03198        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.02855        0.03198        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.002593        0.02837        0.03106        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02770        0.03135        6.093        6.093        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02832        0.03201        4.459        4.459        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02013        0.02353        3.641        3.641        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02135        0.02358        4.186        4.186        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02832        0.03201        5.276        5.276        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02144        0.02311        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02850        0.03168        5.003        5.003        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02839        0.03203        5.821        5.821        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.02850        0.03168        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.98869        1.03346        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.05358        0.06045        6.093        6.093        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.05229        0.05918        6.366        6.366        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
0.001743        0.07183        0.08130        5.548        5.548        0.10        1.0        1.0        1.0        0.0       -1.0       -1.0       -1.0       -1.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00
